---------------- Correlation Report - Account: Uxxxxx30 ----------------

As at: 2022-05-19 15:56:02 (Chicago)


Correlation of Returns - 128 Days

           E7     J7     ZF     ZF     ZN     ZN    M2K    MES    MNQ    MYM     YC     YK     YW    MGC    MHG    SIL    MCL     QG
E7      1.000  0.209 -0.012 -0.118 -0.018 -0.074  0.227  0.247  0.203  0.280 -0.312  0.025 -0.333  0.066  0.140  0.060 -0.165 -0.049
J7      0.209  1.000  0.577  0.530  0.613  0.564 -0.240 -0.271 -0.256 -0.272  0.100  0.071  0.014  0.199 -0.039  0.089 -0.092  0.116
ZF     -0.012  0.577  1.000  0.987  0.966  0.958 -0.143 -0.148 -0.099 -0.175  0.264  0.062  0.103  0.305  0.032  0.175 -0.061  0.043
ZF     -0.118  0.530  0.987  1.000  0.957  0.949 -0.040 -0.092 -0.051 -0.105  0.309  0.119  0.147  0.241  0.084  0.143  0.054  0.020
ZN     -0.018  0.613  0.966  0.957  1.000  0.996 -0.175 -0.174 -0.120 -0.206  0.226  0.032  0.072  0.295  0.036  0.166 -0.082  0.026
ZN     -0.074  0.564  0.958  0.949  0.996  1.000 -0.060 -0.094 -0.057 -0.110  0.266  0.074  0.117  0.253  0.119  0.165  0.052 -0.006
M2K     0.227 -0.240 -0.143 -0.040 -0.175 -0.060  1.000  0.899  0.885  0.849 -0.156 -0.012 -0.098 -0.218  0.158 -0.096  0.081  0.025
MES     0.247 -0.271 -0.148 -0.092 -0.174 -0.094  0.899  1.000  0.959  0.953 -0.140  0.043 -0.109 -0.250  0.233 -0.110  0.083  0.105
MNQ     0.203 -0.256 -0.099 -0.051 -0.120 -0.057  0.885  0.959  1.000  0.848 -0.153 -0.003 -0.135 -0.236  0.179 -0.112  0.013  0.099
MYM     0.280 -0.272 -0.175 -0.105 -0.206 -0.110  0.849  0.953  0.848  1.000 -0.149  0.045 -0.113 -0.277  0.235 -0.130  0.113  0.055
YC     -0.312  0.100  0.264  0.309  0.226  0.266 -0.156 -0.140 -0.153 -0.149  1.000  0.637  0.630  0.447  0.187  0.465  0.387  0.193
YK      0.025  0.071  0.062  0.119  0.032  0.074 -0.012  0.043 -0.003  0.045  0.637  1.000  0.326  0.369  0.386  0.433  0.425  0.199
YW     -0.333  0.014  0.103  0.147  0.072  0.117 -0.098 -0.109 -0.135 -0.113  0.630  0.326  1.000  0.285  0.085  0.310  0.420  0.125
MGC     0.066  0.199  0.305  0.241  0.295  0.253 -0.218 -0.250 -0.236 -0.277  0.447  0.369  0.285  1.000  0.371  0.819  0.360  0.096
MHG     0.140 -0.039  0.032  0.084  0.036  0.119  0.158  0.233  0.179  0.235  0.187  0.386  0.085  0.371  1.000  0.518  0.444  0.101
SIL     0.060  0.089  0.175  0.143  0.166  0.165 -0.096 -0.110 -0.112 -0.130  0.465  0.433  0.310  0.819  0.518  1.000  0.402  0.102
MCL    -0.165 -0.092 -0.061  0.054 -0.082  0.052  0.081  0.083  0.013  0.113  0.387  0.425  0.420  0.360  0.444  0.402  1.000  0.132
QG     -0.049  0.116  0.043  0.020  0.026 -0.006  0.025  0.105  0.099  0.055  0.193  0.199  0.125  0.096  0.101  0.102  0.132  1.000
SumABS  3.539  5.252  6.111  5.947  6.159  5.916  5.363  5.910  5.408  5.917  6.022  4.260  4.421  6.088  4.347  5.295  4.364  2.491
---------------- End Correlation Report - Returns ----------------
