---------------- Risk Report ----------------

As at: 2022-04-04 15:56:00 (Chicago)
(Home currency: AUD)

mySymbol     stdevD      stdevA     price stdevDP stdevAP pointSizeBase  exposure    riskA capital position exposurePCapital riskPCapital
      E7   0.006606    0.105694     1.100    0.60    9.61      82864.87  91151.36  8758.31  190389       -1             47.9          4.6
      J7   0.000047    0.000751     0.008    0.58    9.21    8286487.06  67601.16  6227.10  190389       -1             35.5          3.3
      ZF   0.438403    7.014448   114.039    0.38    6.15       1325.84 151197.31  9300.02  190389       -1             79.4          4.9
      ZN   0.634760   10.156161   122.078    0.52    8.32       1325.84 161855.81 13465.42  190389       -1             85.0          7.1
     M2K  32.500428  520.006840  2090.200    1.55   24.88          6.63  13856.33  3447.22  190389        0              0.0          0.0
     MES  56.087969  897.407496  4573.250    1.23   19.62          6.63  30316.94  5949.08  190389        1             15.9          3.1
     MYM 354.199709 5667.195340 34800.000    1.02   16.29          0.66  23069.58  3756.89  190389        1             12.1          2.0
   AIGCI   2.282254   36.516069   125.450    1.82   29.11        132.58  16632.64  4841.44  190389        0              0.0          0.0
      YC  14.780940  236.495048   749.625    1.97   31.55         13.26   9938.81  3135.54  190389        0              0.0          0.0
      YK  25.662332  410.597310  1601.250    1.60   25.64         13.26  21229.98  5443.85  190389        0              0.0          0.0
      YW  39.830581  637.289299  1010.125    3.94   63.09         13.26  13392.62  8449.42  190389        0              0.0          0.0
      HE   2.335778   37.372442   116.400    2.01   32.11        530.34  61731.01 19819.92  190389        0              0.0          0.0
      LE   1.147917   18.366673   135.000    0.85   13.60        530.34  71595.25  9740.49  190389        0              0.0          0.0
     MGC  22.395662  358.330595  1936.200    1.16   18.51         13.26  25670.87  4750.88  190389        0              0.0          0.0
     SIL   0.488783    7.820528    24.620    1.99   31.76       1325.84  32642.13 10368.75  190389        0              0.0          0.0
     MCL   4.767907   76.286520   103.520    4.61   73.69        132.58  13725.07 10114.36  190389        0              0.0          0.0
      QG   0.181384    2.902141     5.735    3.16   50.60       3314.59  19009.20  9619.42  190389        0              0.0          0.0

Exposure as a percentage of capital: 275.8
Risk as a percentage of capital: 25.0
